ALPHA_CODE,spcd,REGION,EQUATION,CITATION,MinD,a1,a2,a3,a4,a5,a6,d1,d2,s1,HI_elev,HI_lat,HI_long
WP,119,NW,5,Crookson (2005),1,5.3822,0.57896,-0.19579,0.14875,0,-0.00685,0,0,0,5449,42.16,-116.39
WL,73,NW,3,Crookston (2003),1,1.02478,0.99889,0.19422,0.59423,-0.09078,-0.02341,0,0,0,5449,42.16,-116.39
DF,202,NW,5,Crookson (2005),1,6.0227,0.54361,-0.20669,0.20395,-0.00644,-0.00387,0,0,0,5449,42.16,-116.39
GF,17,NW,3,Crookston (2003),1,1.0303,1.14079,0.02094,0.38787,0,0,0,0,0,5449,42.16,-116.39
MH,264,NW,3,Crookston (2003),NA,6.90396,0.55645,-0.28509,0.2043,0,0,0,0,0,5449,42.16,-116.39
WJ,64,NW,5,Crookson (2005),1,5.1486,0.73636,-0.46927,0.39114,-0.05429,0,0,0,0,5449,42.16,-116.39
LP,108,NW,5,Crookson (2005),1,6.6941,0.8198,-0.36992,0.17722,-0.01202,-0.00882,0,0,0,5449,42.16,-116.39
ES,93,NW,5,Crookson (2005),1,6.7575,0.55048,-0.25204,0.19002,0,-0.00313,0,0,0,5449,42.16,-116.39
AF,19,NW,5,Crookson (2005),1,5.8827,0.51479,-0.21501,0.17916,0.03277,-0.00828,0,0,0,5449,42.16,-116.39
PP,122,NW,5,Crookson (2005),1,4.7762,0.74126,-0.28734,0.17137,-0.00602,-0.00209,0,0,0,5449,42.16,-116.39
WB,101,NW,5,Crookson (2005),1,2.2354,0.6668,-0.11658,0.16927,0,0,0,0,0,5449,42.16,-116.39
LM,113,NW,1,Bechtold (2004),5,4.0181,0.8528,0,0,0,0,0,0,0,5449,42.16,-116.39
PY,231,NW,4,Crookston (2005),1,6.1297,0.45424,0,0,0,0,0,0,0,5449,42.16,-116.39
YC,42,NW,5,Crookson (2005),1,3.3756,0.45445,-0.11523,0.22547,0.08756,-0.00894,0,0,0,5449,42.16,-116.39
AS,746,NW,5,Crookson (2005),1,4.7961,0.64167,-0.18695,0.18581,0,0,0,0,0,5449,42.16,-116.39
CW,747,NW,5,Crookson (2005),1,4.4327,0.41505,-0.23264,0.41477,0,0,0,0,0,5449,42.16,-116.39
OS,299,NW,5,Crookson (2005),1,4.7762,0.74126,-0.28734,0.17137,-0.00502,-0.00209,0,0,0,5449,42.16,-116.39
OH,998,NW,6,Donnelly (1996),1,7.5183,0.4461,0,0,0,0,0,0,0,5449,42.16,-116.39
PC,41,NW,5,Crookson (2005),1,4.6387,0.50874,-0.22111,0.17505,0.06447,-0.00602,0,0,0,5449,42.16,-116.39
IC,81,NW,5,Crookson (2005),1,5.0446,0.47419,-0.13917,0.1423,0.04838,-0.00616,0,0,0,5449,42.16,-116.39
RC,242,NW,5,Crookson (2005),1,6.2382,0.29517,-0.10673,0.23219,0.05341,-0.00787,0,0,0,5449,42.16,-116.39
WF,15,NW,5,Crookson (2005),1,5.0312,0.5368,-0.18957,0.16199,0.04385,-0.00651,0,0,0,5449,42.16,-116.39
RF,20,NW,6,Donnelly (1996),1,3.1146,0.578,0,0,0,0,0,0,0,5449,42.16,-116.39
SH,21,NW,5,Crookson (2005),1,2.317,0.4788,-0.06093,0.15482,0.05182,0,0,0,0,5449,42.16,-116.39
WH,263,NW,5,Crookson (2005),1,6.0384,0.51581,-0.21349,0.17468,0.06143,-0.00571,0,0,0,5449,42.16,-116.39
KP,103,NW,5,Crookson (2005),1,4.0069,0.84628,-0.29035,0.131143,0,-0.00842,0,0,0,5449,42.16,-116.39
CP,109,NW,5,Crookson (2005),1,6.6941,0.8198,-0.36992,0.17722,-0.01202,-0.00882,0,0,0,5449,42.16,-116.39
JP,116,NW,5,Crookson (2005),1,4.0217,0.66815,-0.11346,0.09689,-0.636,0,0,0,0,5449,42.16,-116.39
SP,117,NW,5,Crookson (2005),1,3.593,0.63503,-0.22766,0.17827,0.04267,-0.0029,0,0,0,5449,42.16,-116.39
MP,124,NW,2,Bechtold (2004),5,-2.4909,1.0716,0,0.0648,0,-0.1127,0,0,0,5449,42.16,-116.39
GP,127,NW,2,Bechtold (2004),5,-2.4909,1.0716,0,0.0648,0,-0.1127,0,0,0,5449,42.16,-116.39
BR,92,NW,4,Crookston (2005),1,2.8232,0.66326,0,0,0,0,0,0,0,5449,42.16,-116.39
GS,212,NW,4,Crookston (2005),1,3.7023,0.52618,0,0,0,0,0,0,0,5449,42.16,-116.39
PY,231,NW,4,Crookston (2005),1,6.1297,0.45424,0,0,0,0,0,0,0,5449,42.16,-116.39
LO,801,NW,2,Bechtold (2004),5,-16.1696,1.7456,0,0.0925,0,-0.1956,0,0,0,5449,42.16,-116.39
