Time,NEEC,SOMTC,AGB,AG_NPPC,MineralN,C_DeadWood,
0, 0, 1088.1, 5710.5, 0, 2, 1.9, 
1, -333.3, 1094.8, 6049.2, 278.4, 2.67, 83.7, 
2, -317.4, 1120.5, 6326.9, 280.7, 3.65, 132.6, 
3, -292.2, 1154, 6530, 267.7, 4.79, 169.7, 
4, -333.6, 1199.3, 6806.5, 313, 5.14, 187.5, 
5, -412.8, 1260.2, 7199.2, 396.6, 5.48, 192.9, 
6, -366.4, 1308.9, 7489.3, 355.1, 6.04, 207.7, 
7, -310.2, 1362.5, 7687.4, 313.2, 6.51, 222.7, 
8, -379.2, 1413.5, 7982.1, 377.3, 7.15, 230.6, 
9, -332.8, 1470, 8183.2, 339.1, 7.9, 254.1, 
10, -348, 1532.9, 8432.5, 363.3, 8.2, 260.2, 
11, -347.6, 1593.7, 8672.9, 366.5, 8.47, 265.8, 
12, -307.8, 1637.3, 8814.2, 324.4, 8.94, 281.7, 
13, -328.6, 1703.5, 9027.4, 357.3, 8.75, 285.1, 
14, -381.6, 1777.2, 9337.8, 417.3, 8.05, 272.1, 
15, -442.9, 1866.6, 9757.1, 492.4, 8.21, 256.2, 
16, -357.6, 1915.4, 9949.1, 396, 8.62, 274.5, 
17, -356.4, 1986.3, 10180.1, 403.2, 8.35, 282.2, 
18, -264, 2029.6, 10194.3, 303.5, 8.95, 317, 
19, -443.2, 2122.5, 10610.6, 509.9, 8.76, 291.7, 
20, -398.1, 2182.5, 10892.4, 462.1, 8.78, 288.7, 
21, -296.1, 2224.2, 10923.2, 336.8, 9.17, 332, 
22, -355.3, 2286.3, 11117.5, 419.3, 9.12, 331.9, 
23, -299, 2345.8, 11206.9, 357.1, 9.35, 349.8, 
24, -347.6, 2407.4, 11387.7, 414.9, 8.97, 343, 
25, -353.6, 2492.6, 11611.9, 450, 9.12, 333.1, 
26, -318.4, 2561.5, 11744.8, 398.6, 9.14, 341.7, 
27, -328.4, 2630.4, 11877.8, 408.5, 9.5, 355.2, 
28, -296.2, 2679.8, 11968.7, 375.9, 9.45, 356.8, 
29, -343.9, 2761.4, 12148.2, 435.7, 9.58, 360.5, 
30, -416.2, 2851.2, 12503.6, 545.1, 9.27, 323, 
31, -245.3, 2885.1, 12411.6, 319.2, 9.99, 375.5, 
32, -123.3, 2891.2, 12097.5, 178.3, 11.28, 449.2, 
33, -364.7, 3019.1, 12413.7, 494.1, 10.08, 401.4, 
34, -356.6, 3114.1, 12678.5, 482.9, 8.37, 359.2, 
35, -357.9, 3195, 12885.5, 482.3, 8.64, 353.9, 
36, -252.6, 3239.6, 12880.8, 361.2, 8.98, 367.2, 
37, -284.9, 3298.8, 12930.6, 389.7, 8.97, 385.4, 
38, -301.9, 3364.9, 13025.5, 416.9, 9.17, 391.2, 
39, -362.9, 3452.3, 13266.6, 507, 9.1, 372.8, 
40, -311, 3511.6, 13350.2, 430.7, 9.27, 389.1, 
41, -269.1, 3576.5, 13362.7, 386.4, 9.48, 411.2, 
42, -234.8, 3619.7, 13319, 349.7, 9.38, 421.6, 
43, -235.5, 3682.6, 13309.1, 360.6, 9.44, 423.3, 
44, -226.2, 3724.3, 13256.3, 335.9, 9.8, 439.3, 
45, -242.5, 3804.1, 13297.3, 380.2, 9.15, 428, 
46, -218.9, 3861.3, 13290.1, 349.7, 8.68, 418.5, 
47, -320.2, 3942.6, 13498.4, 488.3, 8.9, 385.3, 
48, -319.1, 3980.3, 13648, 471.3, 9.02, 374.9, 
49, -345.5, 4055.3, 13876.6, 522, 8.76, 359.7, 
50, -224.7, 4096.1, 13794.1, 350.7, 8.87, 398.7, 
