Time,NEEC,SOMTC,AGB,AG_NPPC,MineralN,C_DeadWood,
0, 0, 1088.1, 5710.5, 0, 2, 1.9, 
1, -515.5, 1100.5, 6344.9, 436.4, 1.82, 72.8, 
2, -413.3, 1139.5, 6764.9, 373, 2.57, 116.5, 
3, -510.7, 1207.5, 7334, 485.3, 2.79, 128.5, 
4, -470.3, 1281.7, 7809, 461.6, 3.5, 146.4, 
5, -378, 1332.5, 8056.7, 368.8, 4.57, 192.1, 
6, -371.3, 1386.2, 8297.2, 364.1, 5.48, 233.7, 
7, -414.7, 1465.3, 8640.1, 424.5, 5.4, 241.2, 
8, -380.5, 1538.8, 8908.6, 392.3, 6.08, 266, 
9, -404.1, 1631.1, 9240.7, 439.6, 6.22, 263.1, 
10, -366.9, 1702, 9476.3, 390, 6.77, 288.7, 
11, -405.6, 1781.1, 9791.8, 447.7, 7.01, 288.8, 
12, -366.9, 1849.4, 10018, 399, 7.14, 311.1, 
13, -306.5, 1923, 10162, 355.3, 7.42, 322.5, 
14, -256.9, 1971.4, 10162.6, 292.8, 8.1, 364.3, 
15, -367.7, 2054.2, 10438, 419.6, 8.08, 360, 
16, -374.7, 2141.1, 10718.8, 442.5, 8.25, 347, 
17, -383.5, 2215.3, 10985.7, 447.1, 8.18, 346.7, 
18, -372.2, 2291.2, 11202.8, 438, 8.65, 362, 
19, -408, 2394.5, 11560.2, 505.9, 7.78, 328.9, 
20, -394.7, 2488.2, 11855.2, 502.6, 7.91, 321.3, 
21, -469.1, 2577.4, 12299.1, 590.7, 7.67, 297, 
22, -403.8, 2633.8, 12502.5, 479.9, 8.07, 335, 
23, -317.1, 2696.9, 12571.3, 401.2, 8.33, 364.4, 
24, -457.5, 2853.5, 13120.7, 673, 6.75, 268.6, 
25, -364.2, 2899, 13226.5, 445.7, 6.79, 320.5, 
26, -280.7, 2935.1, 13174.4, 357.8, 7.25, 379.9, 
27, -333.3, 2995.3, 13272.7, 439.3, 7.74, 395.5, 
28, -286.3, 3066.7, 13291.7, 381.5, 7.92, 429.4, 
29, -327.7, 3154.1, 13447.8, 453.5, 7.78, 412.9, 
30, -361, 3250.8, 13654.3, 495.8, 7.75, 402.4, 
31, -251.2, 3287.3, 13586, 349.3, 8.24, 440, 
32, -192.4, 3329.5, 13421.5, 289, 8.94, 488.6, 
33, -286.3, 3404.8, 13498.6, 405.9, 9.03, 484.2, 
34, -253, 3471.8, 13511.1, 369.5, 9.02, 489.4, 
35, -241.7, 3543.2, 13532.8, 383.3, 9.26, 474.8, 
36, -248.6, 3633.2, 13646.4, 414, 8.46, 427.1, 
37, -242.4, 3671.2, 13620.2, 359.7, 8.52, 444.5, 
38, -304.1, 3757.8, 13787.9, 472.7, 8.58, 423.8, 
39, -397.1, 3850.6, 14218.5, 641.7, 7.64, 344.1, 
40, -338.4, 3904.8, 14352.1, 485.2, 7.68, 371.2, 
41, -317.4, 3931.5, 14387.1, 438.8, 7.95, 411.9, 
42, -286.9, 3982.8, 14442.1, 448.6, 8.21, 421.6, 
43, -244.7, 4019.6, 14353.5, 364.5, 8.81, 466.8, 
44, -237.6, 4088.7, 14344.3, 384.3, 8.49, 469.4, 
45, -238.2, 4156.7, 14349.6, 400.1, 8.25, 456.6, 
46, -189, 4189.5, 14194.5, 313.6, 8.83, 496.9, 
47, -240.5, 4246.9, 14219.2, 393.9, 8.62, 481.7, 
48, -327.4, 4350.3, 14480, 545.3, 8.11, 422.6, 
49, -270.8, 4397.3, 14517.8, 430.4, 8.18, 432.2, 
50, -259.2, 4449.7, 14533.8, 427.8, 8.54, 448.8, 
