Time,ClimateRegionName,ClimateRegionIndex,NumSites,NEEC,SOMTC,AGB,AG_NPPC,BG_NPPC,Litterfall,AgeMortality,MineralN,TotalN,GrossMineralization,C_LiveLeaf,C_LiveFRoot,C_LiveWood,C_LiveCRoot,C_DeadWood,C_DeadCRoot,C_DeadLeaf_Struc,C_DeadLeaf_Meta,C_DeadFRoot_Struc,C_DeadFRoot_Meta,C_SOM1surf,C_SOM1soil,C_SOM2,C_SOM3,N_Leaf,N_FRoot,N_Wood,N_CRoot,N_DeadWood,N_DeadCRoot,N_DeadLeaf_Struc,N_DeadLeaf_Meta,N_DeadFRoot_Struc,N_DeadFRoot_Meta,N_SOM1surf,N_SOM1soil,N_SOM2,N_SOM3,SurfStrucNetMin,SurfMetaNetMin,SoilStrucNetMin,SoilMetaNetMin,SOM1surfNetMin,SOM1soilNetMin,SOM2NetMin,SOM3NetMin,TotalNdep,LeachedC,LeachedN,FireCEfflux,FireNEfflux,Nuptake,Nresorbed,TotalSoilN,Nvol,FrassC,DroughtMort,
0, FortBragg, 1, 53823, 0, 1088.1, 5710.5, 0, 0, 0, 0, 2, 99.9, 0, 0, 0, 2683.9, 809.6, 1.9, 1.9, 0.2, 0, 0, 0, 10.9, 21.8, 642, 413.5, 0, 0, 4.3, 5, 0, 0, 0, 0, 0, 0, 1.1, 2.2, 36.6, 48.8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 90.7, 0, 0, 0, 
1, FortBragg, 1, 53823, -519.6, 1103.5, 6362.3, 442.7, 120.1, 28.7, 106.8, 1.86, 103.1, 1.4, 107.6, 21.8, 2883.5, 869.7, 72.3, 24.9, 11.6, 6, 1.7, 2.5, 27.1, 29.9, 633.2, 413.4, 2.3, 0.4, 4.6, 5.4, 0.1, 0.2, 0.1, 0.2, 0, 0.1, 1, 2.6, 35.5, 48.8, 0, 0, 0, 0, 0.2, 0.4, 0.4, 0, 3.71, 0.06, 0.44, 0, 0, 4.2, 0.4, 90.1, 0.22, 0, 0, 
2, FortBragg, 1, 53823, -412.6, 1154.6, 6802.8, 382.6, 103.9, 63.5, 112.3, 2.63, 106.1, 1.5, 162.7, 32.9, 3035.6, 915.6, 119.5, 41.5, 28.4, 16.4, 4.3, 6.8, 60.2, 39.6, 641.4, 413.3, 3.5, 0.7, 4.8, 5.7, 0.2, 0.3, 0.1, 0.5, 0, 0.2, 1.2, 2.9, 34.6, 48.8, 0.1, -0.1, 0, 0, 0.2, 0.4, 0.3, 0, 3.63, 0.07, 0.39, 0, 0, 3.2, 0.8, 91, 0.31, 0, 0, 
3, FortBragg, 1, 53823, -505.6, 1242.4, 7407.4, 503.8, 136.9, 98.3, 122.4, 2.86, 108.9, 2.5, 220.9, 44.5, 3260.9, 983.6, 135.3, 48.4, 42, 28, 6.8, 11.3, 110.2, 54.1, 665, 413.2, 4.6, 0.9, 5.2, 6.1, 0.2, 0.3, 0.2, 0.9, 0, 0.4, 1.6, 3.4, 33.5, 48.8, 0.1, -0.1, 0, 0, 0.3, 0.7, 0.4, 0, 3.78, 0.2, 0.68, 0, 0, 4.1, 1.3, 91.6, 0.33, 0, 0, 
4, FortBragg, 1, 53823, -464.1, 1341.2, 7925.1, 485.7, 131.8, 112.6, 130.4, 3.6, 111.9, 2.6, 258.8, 52.1, 3466.7, 1045.6, 158, 56.7, 50.6, 36.5, 8.4, 14.7, 160.5, 67.3, 700.3, 413.2, 5.4, 1, 5.5, 6.5, 0.3, 0.4, 0.3, 1.1, 0, 0.5, 2.2, 3.8, 32.6, 48.7, 0.1, -0.2, 0, 0, 0.4, 0.7, 0.3, 0, 3.7, 0.14, 0.42, 0, 0, 3.7, 1.4, 92.9, 0.41, 0, 0, 
5, FortBragg, 1, 53823, -371.3, 1419.7, 8204.8, 389.5, 105.5, 121.7, 136.4, 4.7, 114.4, 2, 256.2, 51.4, 3601.3, 1086, 211.4, 73.9, 79.8, 49.1, 12.1, 20.6, 197.8, 76.7, 732.2, 413.1, 5.2, 1, 5.7, 6.7, 0.3, 0.5, 0.4, 1.5, 0.1, 0.7, 2.6, 4.2, 32.1, 48.7, 0.1, -0.1, 0, 0, 0.3, 0.5, 0.1, 0, 3.45, 0.04, 0.24, 0, 0, 2.7, 1.4, 95, 0.5, 0, 0, 
6, FortBragg, 1, 53823, -350.3, 1509.4, 8460.5, 377.1, 102.2, 115.6, 141.4, 5.68, 117.1, 1.9, 256, 51.3, 3721.8, 1122.2, 263.5, 91.2, 98.4, 58.3, 14.7, 25.2, 240.3, 86.5, 769.6, 413.1, 5.2, 1, 5.9, 6.9, 0.4, 0.6, 0.5, 1.8, 0.1, 0.8, 3.1, 4.6, 31.8, 48.7, 0.1, -0.2, 0, 0, 0.3, 0.4, 0, 0, 3.43, 0.01, 0.07, 0, 0, 2.6, 1.3, 97.1, 0.63, 0, 0, 
7, FortBragg, 1, 53823, -391.4, 1636.7, 8843.5, 450, 122.1, 121.3, 148.7, 5.58, 119.3, 2.5, 273.4, 54.9, 3884.4, 1171.1, 280.1, 99.7, 96.8, 63.5, 15.2, 27.3, 299.1, 100, 824.7, 413, 5.6, 1.1, 6.1, 7.2, 0.4, 0.6, 0.5, 1.9, 0.1, 0.9, 3.8, 5.2, 31.5, 48.7, 0.2, -0.2, 0, 0, 0.5, 0.6, -0.1, 0, 3.58, 0.15, 0.87, 0, 0, 3.2, 1.4, 98.1, 0.69, 0, 0, 
8, FortBragg, 1, 53823, -351.5, 1750.4, 9133.9, 410.4, 111.2, 120.3, 153.6, 6.34, 122, 2.4, 278.8, 56, 4015.5, 1210.5, 314.2, 111.7, 102.8, 69, 16.3, 29.7, 348.2, 111.9, 877.3, 413, 5.7, 1.1, 6.3, 7.5, 0.5, 0.7, 0.5, 2.1, 0.1, 0.9, 4.3, 5.8, 31.3, 48.7, 0.2, -0.2, 0, -0.1, 0.5, 0.5, -0.2, 0, 3.45, 0.03, 0.12, 0, 0, 2.7, 1.3, 100.1, 0.75, 0, 0, 
9, FortBragg, 1, 53823, -380.4, 1888.2, 9523.3, 477.1, 129.4, 131.8, 162.4, 6.46, 124.1, 3.2, 293.8, 59, 4183.4, 1261.1, 319.7, 115.3, 97.7, 70.9, 15.9, 29.9, 402.3, 126.3, 946.7, 413, 6, 1.2, 6.6, 7.8, 0.5, 0.7, 0.5, 2.2, 0.1, 1, 5, 6.4, 31, 48.7, 0.2, -0.3, 0, 0, 0.7, 0.8, -0.2, 0, 3.55, 0.17, 0.61, 0, 0, 3.5, 1.5, 101.3, 0.77, 0, 0, 
10, FortBragg, 1, 53823, -328.2, 2003.4, 9772.9, 406.9, 110.1, 123.9, 165.7, 7.1, 126.6, 2.6, 293.7, 58.9, 4300.8, 1296.3, 354.3, 127.5, 104.3, 75, 16.9, 32, 447, 137.7, 1005.7, 413, 6, 1.2, 6.8, 8, 0.6, 0.8, 0.5, 2.3, 0.1, 1, 5.5, 7.1, 30.9, 48.7, 0.2, -0.2, 0, -0.2, 0.6, 0.6, -0.4, 0, 3.49, 0.03, 0.2, 0, 0, 2.6, 1.4, 103.4, 0.86, 0, 0, 
