Time,NEEC,SOMTC,AGB,AG_NPPC,MineralN,C_DeadWood,
0, 0, 1088.1, 5710.5, 0, 2, 1.9, 
1, -516.5, 1101.2, 6350.8, 437, 1.82, 72.2, 
2, -412.6, 1144.4, 6775.4, 373.7, 2.57, 119.3, 
3, -506.2, 1224.8, 7350.6, 486.8, 2.79, 134.8, 
4, -463.6, 1317.3, 7831.3, 463.1, 3.51, 157, 
5, -370.1, 1392.7, 8084.8, 370.1, 4.58, 209.7, 
6, -359.4, 1476.5, 8327.7, 364.2, 5.51, 260.8, 
7, -396.8, 1599.3, 8679.5, 427.3, 5.43, 276.5, 
8, -362.7, 1712.9, 8953.2, 394.3, 6.11, 309.6, 
9, -380, 1859.9, 9297.7, 445.1, 6.26, 314.3, 
10, -343.6, 1981.3, 9537.5, 391.9, 6.83, 347.9, 
11, -379, 2131.5, 9874.3, 458.2, 7.07, 357, 
12, -340.8, 2262.1, 10110.3, 404.9, 7.21, 387.9, 
13, -277.6, 2399.2, 10262.8, 360.5, 7.51, 410.1, 
14, -230.2, 2507.6, 10265.9, 295.7, 8.2, 464, 
15, -331.5, 2664.5, 10553.9, 427.4, 8.21, 468.5, 
16, -334.4, 2834.1, 10853.7, 454, 8.39, 461, 
17, -345.7, 2992.8, 11144.6, 462.8, 8.32, 466.5, 
18, -338.2, 3141.3, 11386.2, 455.9, 8.82, 486.6, 
19, -361.8, 3335.5, 11775.8, 528.1, 7.92, 452.8, 
20, -355.2, 3509.4, 12112.2, 533.2, 8.07, 441.3, 
21, -434, 3693.3, 12622.5, 637.3, 7.83, 417.6, 
22, -371.8, 3828.2, 12848.4, 506.6, 8.26, 462.9, 
23, -275.8, 3968.5, 12921, 416.5, 8.52, 503.7, 
24, -376.9, 4225.9, 13535.5, 724.4, 6.9, 372.7, 
25, -319.5, 4352.6, 13643, 463.6, 6.99, 430.1, 
26, -236.9, 4471.5, 13583.4, 369, 7.5, 501.4, 
27, -284.6, 4627.6, 13703.5, 466.4, 7.98, 527.6, 
28, -233, 4773.1, 13716.7, 393.9, 8.21, 568.2, 
29, -263.8, 4956.2, 13886.8, 475.2, 8.07, 559.1, 
30, -297.2, 5140.5, 14116.5, 525.7, 8.02, 545.4, 
31, -191.7, 5275.1, 14040.1, 361.3, 8.55, 596.6, 
32, -130.6, 5402.4, 13857.6, 293.9, 9.38, 654.9, 
33, -207.8, 5570.9, 13928, 416.1, 9.56, 658.1, 
34, -179.4, 5730.3, 13934.5, 378.8, 9.63, 669.9, 
35, -157.6, 5900, 13961.1, 398.9, 9.84, 656.6, 
36, -167, 6092.9, 14100.1, 440.4, 8.89, 603.1, 
37, -163.6, 6231, 14070.6, 372.9, 8.97, 624.3, 
38, -206.9, 6395.8, 14257.5, 500.1, 8.96, 590.1, 
39, -265.3, 6579, 14748.8, 698.1, 7.93, 474.5, 
40, -262.6, 6695.3, 14901.2, 518.7, 7.93, 502.1, 
41, -236.1, 6806.3, 14927, 456.5, 8.29, 554.1, 
42, -193.5, 6937.6, 14985.7, 473.1, 8.61, 566.7, 
43, -165.8, 7050.7, 14880.9, 376.8, 9.39, 624.5, 
44, -159, 7197.5, 14877.7, 405.9, 9.13, 633.3, 
45, -149, 7351.4, 14894.5, 425.2, 8.74, 622.9, 
46, -105.1, 7468.8, 14721.5, 323, 9.48, 669.8, 
47, -148.3, 7620.3, 14755.2, 416.6, 9.33, 660.6, 
48, -206.1, 7798.7, 15050.6, 589.2, 8.6, 577.2, 
49, -174.7, 7922.8, 15098.4, 459.1, 8.66, 588.4, 
50, -156.6, 8040.2, 15117.4, 455, 9.07, 601.5, 
